14-mar-2019,,,,,,,,,,,,,,,
iShares 1-3 Year Treasury Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-jul-2002,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 20,287,621,692.22",,,,,,,,,,,,,,
Number of Securities,67.00,,,,,,,,,,,,,,
Share,"242,200,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
TREASURY NOTE,Fixed Income,8.41,99.55,"1,705,746,668.54","1,705,746,668.54",Bonos del Tesoro,BLT2LR7,US912828WG10,2.25,30-abr-2021,2.47,--,2.47,2.05,"1,699,188,000.00"
TREASURY NOTE,Fixed Income,5.64,99.44,"1,144,031,713.65","1,144,031,713.65",Bonos del Tesoro,BD5JSB9,US912828VV95,2.13,31-ago-2020,2.52,--,2.52,1.43,"1,149,502,000.00"
TREASURY NOTE (OLD),Fixed Income,4.38,100.20,"887,163,119.00","887,163,119.00",Bonos del Tesoro,BJ7G9D9,US9128286C90,2.50,15-feb-2022,2.43,--,2.43,2.80,"883,694,000.00"
TREASURY NOTE,Fixed Income,4.31,98.87,"874,786,447.90","874,786,447.90",Bonos del Tesoro,BYSKX33,US912828XH83,1.63,30-jun-2020,2.51,--,2.51,1.27,"881,812,000.00"
TREASURY NOTE,Fixed Income,3.81,98.78,"772,412,292.41","772,412,292.41",Bonos del Tesoro,BYLY8M6,US912828XE52,1.50,31-may-2020,2.53,--,2.53,1.19,"778,563,000.00"
TREASURY NOTE (2OLD),Fixed Income,3.76,100.18,"761,535,967.24","761,535,967.24",Bonos del Tesoro,BJ7M2Q1,US9128285V80,2.50,15-ene-2022,2.43,--,2.43,2.72,"757,120,000.00"
TREASURY NOTE,Fixed Income,3.71,96.85,"751,537,426.11","751,537,426.11",Bonos del Tesoro,BZ1N790,US9128282F67,1.13,31-ago-2021,2.45,--,2.45,2.41,"775,632,000.00"
TREASURY NOTE,Fixed Income,3.70,100.19,"750,707,880.57","750,707,880.57",Bonos del Tesoro,B5TCBD1,US912828PC88,2.63,15-nov-2020,2.51,--,2.51,1.62,"742,851,000.00"
TREASURY NOTE,Fixed Income,3.49,99.29,"707,782,778.01","707,782,778.01",Bonos del Tesoro,BCF0W46,US912828VP28,2.00,31-jul-2020,2.52,--,2.52,1.35,"711,121,000.00"
TREASURY NOTE,Fixed Income,3.29,99.16,"667,961,455.41","667,961,455.41",Bonos del Tesoro,BH13VK3,US912828A420,2.00,30-nov-2020,2.50,--,2.50,1.66,"669,722,000.00"
TREASURY NOTE,Fixed Income,3.20,97.74,"648,317,774.84","648,317,774.84",Bonos del Tesoro,BYMHDL8,US912828Q780,1.38,30-abr-2021,2.47,--,2.47,2.07,"659,832,000.00"
TREASURY NOTE,Fixed Income,3.09,101.06,"626,927,047.17","626,927,047.17",Bonos del Tesoro,BFY6Z58,US9128285F31,2.88,15-oct-2021,2.45,--,2.45,2.46,"613,100,700.00"
TREASURY NOTE,Fixed Income,2.98,98.63,"605,155,010.81","605,155,010.81",Bonos del Tesoro,BB2D0H0,US912828VF46,1.38,31-may-2020,2.52,--,2.52,1.19,"611,086,000.00"
TREASURY NOTE,Fixed Income,2.98,97.61,"604,014,868.57","604,014,868.57",Bonos del Tesoro,BD2MXC7,US912828Q376,1.25,31-mar-2021,2.45,--,2.45,1.99,"615,190,700.00"
TREASURY NOTE,Fixed Income,2.70,101.11,"548,398,906.18","548,398,906.18",Bonos del Tesoro,B45HSW1,US912828ND89,3.50,15-may-2020,2.53,--,2.53,1.13,"536,249,000.00"
TREASURY NOTE,Fixed Income,2.53,99.09,"512,825,678.05","512,825,678.05",Bonos del Tesoro,BK01CD9,US912828B907,2.00,28-feb-2021,2.48,--,2.48,1.91,"517,131,200.00"
TREASURY NOTE,Fixed Income,2.26,99.23,"459,056,054.48","459,056,054.48",Bonos del Tesoro,B4WLSH1,US912828RC60,2.13,15-ago-2021,2.46,--,2.46,2.34,"461,869,000.00"
