Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1988,2.43,2.12,2.08,2.52,1.49,26
1989,2.59,2.44,2.09,2.99,1.52,37
1990,3.15,2.72,2.44,2.8,1.6,17
1991,3.17,3.19,2.36,3.52,1.62,17
1992,3.07,3.43,2.18,2.88,1.52,21
1993,4.13,3.57,2.3,3.53,1.57,36
1994,5.41,3.8,2.12,4.57,1.33,41
1995,6.07,5.18,2.68,4.33,1.87,35
1996,4.96,4.52,2.19,4.57,1.33,40
1997,3.12,2.59,1.36,2.53,0.92,70
1998,1.48,1.57,0.98,1.56,0.62,81
1999,0.92,0.89,0.78,1.2,0.34,110
2000,0.97,0.95,0.87,1.3,0.47,153
2001,1.1,1.16,0.94,1.39,0.63,54
2002,0.86,1.02,0.87,1.32,0.62,33
2003,1.55,1.22,0.81,1.42,0.43,38
2004,1.32,1.34,0.95,1.34,0.53,67
2005,1.11,1.05,0.94,1.39,0.51,64
2006,1.15,1.05,0.92,1.49,0.51,80
2007,1.36,1.4,1.13,1.79,0.68,68
2008,0.91,0.89,0.72,1.22,0.4,66
2009,0.94,0.81,0.76,1.12,0.23,23
2010,1.16,0.95,0.63,1.25,0.17,50
2011,0.57,0.36,0.21,0.57,0.06,45
2012,0.39,0.28,0.24,0.4,0.06,56
2013,0.25,0.18,0.08,0.22,0,58
2014,0.12,0.09,0.02,0.14,0,81
2015,0.07,0.09,0,0.07,0,61
2016,0.01,0.01,0,0,0,68
